device_brand,os,screen_size,Screen Damage,Charger Availability,rear_camera_mp,front_camera_mp,Storage (GB),RAM (GB),battery,weight,Year of Release,days_used,normalized_used_price,normalized_new_price,,Age (Years),Keyword Working,Battery Health (%),Old Phone Selling Price (Rs),Charger Availability
Honor,Android,14.5,1,0,13,5,64,3,3020,146,2020,127,4.307572449,4.715100245,,0.347945205,1,41.65517241,646.1358674,1
Honor,Android,17.3,1,1,13,16,128,8,4300,213,2020,325,5.162096647,5.519017936,,0.890410959,1,59.31034483,774.3144971,1
Honor,Android,16.69,1,1,13,8,128,8,4200,213,2020,162,5.111083765,5.884630724,,0.443835616,1,57.93103448,766.6625648,1
Honor,Android,25.5,1,1,13,8,64,6,7250,480,2020,345,5.135386588,5.630960854,,0.945205479,0,100,770.3079882,1
Honor,Android,15.32,1,0,13,8,64,3,5000,185,2020,293,4.389994804,4.947837479,,0.802739726,0,68.96551724,658.4992206,1
Honor,Android,16.23,1,0,13,8,64,4,4000,176,2020,223,4.413888608,5.060694494,,0.610958904,0,55.17241379,662.0832912,1
Honor,Android,13.84,1,0,8,5,32,2,3020,144,2020,234,3.878259375,4.518958489,,0.64109589,0,41.65517241,581.7389063,1
Honor,Android,15.77,1,0,13,8,64,4,3400,164,2020,219,4.729421148,5.18872569,,0.6,0,46.89655172,709.4131722,1
Honor,Android,15.32,1,0,13,16,128,6,4000,165,2020,161,4.886054204,5.299916088,,0.44109589,0,55.17241379,732.9081306,1
Honor,Android,16.23,1,0,13,8,128,6,4000,176,2020,327,4.773223771,5.073610093,,0.895890411,0,55.17241379,715.9835657,1
Honor,Android,15.47,1,0,13,8,64,3,3020,150,2020,268,4.26703657,4.713665782,,0.734246575,0,41.65517241,640.0554855,1
Honor,Android,15.32,1,0,13,8,64,4,5000,185,2020,344,4.657383057,4.770176021,,0.942465753,1,68.96551724,698.6074586,1
Honor,Android,16.69,1,1,13,16,128,8,4100,206,2019,537,5.383255763,6.213967894,,1.471232877,0,56.55172414,807.4883645,1
Honor,Android,15.32,1,0,13,16,64,4,4000,171.5,2019,336,4.617592706,5.398750764,,0.920547945,0,55.17241379,692.6389059,1
Honor,Android,14.5,1,0,13,5,32,2,3020,146,2019,230,4.111365547,4.487512143,,0.630136986,0,41.65517241,616.7048321,1
Honor,Android,16.23,1,0,13,8,64,4,4000,176,2019,248,4.411221293,4.866225902,,0.679452055,0,55.17241379,661.683194,1
Honor,Android,15.9,1,0,13,32,128,6,3750,172,2019,395,5.022366217,5.517934708,,1.082191781,0,51.72413793,753.3549326,1
